0,1,2,session,policy_area,party,state
0.0183,0.0446,0.0328,113,Education,Republican,TN
0.0922,0.0446,0.0815,113,Health,Republican,TN
0.1057,0.0446,0.0889,113,Public Lands and Natural Resources,Republican,TN
0,0.032,0.0228,113,Taxation,Republican,TN
0.1057,0.0446,0.0889,113,Public Lands and Natural Resources,Republican,TN
0.0922,0.0446,0.0815,113,Health,Republican,TN
0.0452,0.0446,0.0495,113,Housing and Community Development,Republican,TN
0.0922,0.0446,0.0815,113,Health,Republican,TN
0.1057,0.0446,0.0889,113,Public Lands and Natural Resources,Republican,TN
0.1251,0.0446,0.1047,113,Transportation and Public Works,Republican,TN
0.0922,0.0446,0.0815,113,Health,Republican,TN
0.3477,0.0446,0.2729,113,Sports and Recreation,Republican,TN
0.0183,0.0446,0.0328,113,Education,Republican,TN
0.0141,0.0446,0.0297,113,Labor and Employment,Republican,TN
0,0.0446,0.0222,113,Animals,Republican,TN
0.0728,0.0446,0.0671,113,Commerce,Republican,TN
0.0922,0.0446,0.0815,113,Health,Republican,TN
0.0922,0.0446,0.0815,113,Health,Republican,TN
0,0.0446,0.0222,113,Animals,Republican,TN
0.0141,0.0446,0.0297,113,Labor and Employment,Republican,TN
0.0511,0.0446,0.0534,113,Water Resources Development,Republican,TN
0.0355,0.0446,0.0422,113,Energy,Republican,TN
0.0141,0.0446,0.0297,113,Labor and Employment,Republican,TN
0.0511,0.0446,0.0534,113,Water Resources Development,Republican,TN
0.0572,0.047,0.0609,114,Energy,Republican,TN
0.0572,0.047,0.0609,114,Energy,Republican,TN
0.0297,0.047,0.0475,114,Education,Republican,TN
0.023,0.047,0.0431,114,Labor and Employment,Republican,TN
0,0.047,0.0322,114,Animals,Republican,TN
0.0297,0.047,0.0475,114,Education,Republican,TN
0.0572,0.047,0.0609,114,Energy,Republican,TN
0.163,0.047,0.1254,114,Public Lands and Natural Resources,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.163,0.047,0.1254,114,Public Lands and Natural Resources,Republican,TN
0.023,0.047,0.0431,114,Labor and Employment,Republican,TN
0.0297,0.047,0.0475,114,Education,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.023,0.047,0.0431,114,Labor and Employment,Republican,TN
