bioguideId,session,billid,policy_area,billtype,billoutcome,last_name,first_name,party,state_name,state,chamber,state_name_2,total_session,total_state,proportion
A000360,113,1101,Education,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1265,Health,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1294,Public Lands and Natural Resources,S,Ordered Reported,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1489,Taxation,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1572,Public Lands and Natural Resources,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1590,Health,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1646,Housing and Community Development,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1735,Health,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1785,Public Lands and Natural Resources,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1811,Transportation and Public Works,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1849,Health,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1910,Sports and Recreation,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,1968,Education,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
A000360,113,2178,Labor and Employment,S,nothing,Alexander,Lamar,Republican,Tennessee,TN,Senate,tennessee,3067,34,0.011085751548744702
