bioguideId,last,first,party,state_name,state
A000009,Abdnor,James,Republican,South Dakota,SD
A000014,Abercrombie,Neil,Democratic,Hawaii,HI
A000017,Abourezk,James,Democratic,South Dakota,SD
A000374,Abraham,Ralph Lee,Republican,Louisiana,LA
A000355,Abraham,Spencer,Republican,Michigan,MI
A000018,Abzug,Bella S.,Democratic,New York,NY
A000359,Acevedo-Vila,Anibal,Democratic,Puerto Rico,PR
A000022,Ackerman,Gary L.,Democratic,New York,NY
A000370,Adams,Alma S.,Democratic,North Carolina,NC
A000031,Adams,Brock,Democratic,Washington,WA
A000366,Adams,Sandy,Republican,Florida,FL
A000052,Addabbo,Joseph P.,Democratic,New York,NY
A000055,Aderholt,Robert B.,Republican,Alabama,AL
A000364,Adler,John H.,Democratic,New Jersey,NJ
A000371,Aguilar,Pete,Democratic,California,CA
A000062,Aiken,George,Republican,Vermont,VT
A000069,Akaka,Daniel K.,Democratic,Hawaii,HI
A000358,Akin,W. Todd,Republican,Missouri,MO
A000073,Albert,Carl,Democratic,Oklahoma,OK
A000076,Albosta,Donald J.,Democratic,Michigan,MI
A000103,Alexander,Bill,Democratic,Arkansas,AR
A000360,Alexander,Lamar,Republican,Tennessee,TN
A000361,Alexander,Rodney,Democratic,Louisiana,LA
A000109,Allard,Wayne,Republican,Colorado,CO
A000118,Allen,Clifford R.,Democratic,Tennessee,TN
A000121,Allen,George,Republican,Virginia,VA
A000127,Allen,James B.,Democratic,Alabama,AL
A000139,Allen,Maryon,Democratic,Alabama,AL
A000372,Allen,Rick W.,Republican,Georgia,GA
A000357,Allen,Thomas H.,Democratic,Maine,ME
A000362,Altmire,Jason,Democratic,Pennsylvania,PA
A000367,Amash,Justin,Republican,Michigan,MI
A000170,Ambro,Jerome A.,Democratic,New York,NY
A000177,Ammerman,Joseph S.,Democratic,Pennsylvania,PA
A000369,Amodei,Mark E.,Republican,Nevada,NV
A000189,Anderson,Glenn M.,Democratic,California,CA
A000195,Anderson,John B.,Republican,Illinois,IL
A000202,Anderson,Wendell R.,Democratic,Minnesota,MN
A000207,Andrews,Ike,Democratic,North Carolina,NC
A000208,Andrews,Mark,Republican,North Dakota,ND
A000209,Andrews,Michael,Democratic,Texas,TX
A000210,Andrews,Robert E.,Democratic,New Jersey,NJ
A000211,Andrews,Thomas H.,Democratic,Maine,ME
A000212,Annunzio,Frank,Democratic,Illinois,IL
A000213,Anthony,"Beryl, Jr.",Democratic,Arkansas,AR
A000214,Applegate,Douglas,Democratic,Ohio,OH
A000215,Archer,Bill,Republican,Texas,TX
A000363,Arcuri,Michael A.,Democratic,New York,NY
A000216,Arends,Leslie C.,Republican,Illinois,IL
A000217,Armey,Richard K.,Republican,Texas,TX
A000219,Armstrong,William L.,Republican,Colorado,CO
A000375,Arrington,Jodey C.,Republican,Texas,TX
A000220,Ashbrook,Jean,Republican,Ohio,OH
A000221,Ashbrook,John M.,Republican,Ohio,OH
A000356,Ashcroft,John,Republican,Missouri,MO
A000373,Ashford,Brad,Democratic,Nebraska,NE
A000222,Ashley,Thomas L.,Democratic,Ohio,OH
A000224,Aspin,Les,Democratic,Wisconsin,WI
A000226,Atkins,Chester G.,Democratic,Massachusetts,MA
A000329,Atkinson,Eugene V.,Democratic,Pennsylvania,PA
A000337,AuCoin,Les,Democratic,Oregon,OR
A000365,Austria,Steve,Republican,Ohio,OH
A000368,Ayotte,Kelly,Republican,New Hampshire,NH
B001291,Babin,Brian,Republican,Texas,TX
B001234,Baca,Joe,Democratic,California,CA
B000008,Bacchus,Jim,Democratic,Florida,FL
B001256,Bachmann,Michele,Republican,Minnesota,MN
B000013,Bachus,Spencer,Republican,Alabama,AL
B001298,Bacon,Don,Republican,Nebraska,NE
B000024,Badham,Robert E.,Republican,California,CA
B000025,Badillo,Herman,Democratic,New York,NY
B000028,Baesler,Scotty,Democratic,Kentucky,KY
B000029,Bafalis,L. A. (Skip),Republican,Florida,FL
B000037,Bailey,Donald A.,Democratic,Pennsylvania,PA
B000047,Bailey,Wendell,Republican,Missouri,MO
B001229,Baird,Brian,Democratic,Washington,WA
B000078,Baker,Bill,Republican,California,CA
B000063,Baker,"Howard H., Jr.",Republican,Tennessee,TN
B000069,Baker,LaMar,Republican,Tennessee,TN
B000072,Baker,Richard H.,Republican,Louisiana,LA
B000081,Baldacci,John Elias,Democratic,Maine,ME
B000083,Baldus,Alvin J.,Democratic,Wisconsin,WI
B001230,Baldwin,Tammy,Democratic,Wisconsin,WI
B001238,Ballance,"Frank W.,  Jr.",Democratic,North Carolina,NC
B000104,Ballenger,Cass,Republican,North Carolina,NC
B001299,Banks,Jim,Republican,Indiana,IN
B001279,Barber,Ron,Democratic,Arizona,AZ
B001226,Barca,Peter,Democratic,Wisconsin,WI
B000134,Barcia,James A.,Democratic,Michigan,MI
B001237,Barkley,Dean M.,Independent,Minnesota,MN
B001269,Barletta,Lou,Republican,Pennsylvania,PA
B000151,Barlow,Tom,Democratic,Kentucky,KY
B000153,Barnard,"Doug, Jr.",Democratic,Georgia,GA
B000160,Barnes,Michael D.,Democratic,Maryland,MD
B001282,Barr,Andy,Republican,Kentucky,KY
B000169,Barr,Bob,Republican,Georgia,GA
