bioguideId,last_name,first_name,party,state,chamber,chamber_id,in_113,in_114,in_115,total_in,total_out,total_in_party,total_out_party,total_in_nonparty,total_out_nonparty
R000146,Reid,Harry,D,NV,Senate,2,1,1,0,36.776202014316915,28.361781172488406,25.80567730262899,12.46536685447444,10.970524711687926,15.896414318013967
L000174,Leahy,Patrick,D,VT,Senate,2,1,1,1,94.00558469284546,83.6601812068073,62.04560219691695,55.19144788365967,31.959982495928507,28.468733323147625
M000639,Menendez,Robert,D,NJ,Senate,2,1,1,1,146.69166328904265,72.10399597005197,98.76980069085192,50.69306897517362,47.92186259819073,21.410926994878352
D000563,Durbin,Richard,D,IL,Senate,2,1,1,1,146.33863572286361,115.81407990184863,123.353697494575,90.43326932923,22.984938228288613,25.38081057261863
S000148,Schumer,Charles,D,NY,Senate,2,1,1,1,104.26677263156951,118.24503208041925,79.77143587583325,92.54025880482722,24.49533675573626,25.704773275592032
H001042,Hirono,Mazie,D,HI,Senate,2,1,1,1,87.09038686615585,87.65033731692304,61.92012005958654,66.66988563641836,25.170266806569316,20.980451680504686
S001194,Schatz,Brian,D,HI,Senate,2,1,1,1,71.09691568568137,132.06152638523758,52.02079095312169,99.9481703084667,19.076124732559677,32.113356076770884
B000944,Brown,Sherrod,D,OH,Senate,2,1,1,1,160.98320552347664,143.67056290457842,104.09436266735524,100.89146580827642,56.8888428561214,42.779097096301996
F000062,Feinstein,Dianne,D,CA,Senate,2,1,1,1,124.40071565802154,111.0336065084087,88.22148675467976,82.79466168576346,36.17922890334178,28.238944822645237
C001088,Coons,Christopher,D,DE,Senate,2,1,1,1,77.82757039379173,119.42702690374271,34.264337665031775,71.65875901532144,43.56323272875996,47.76826788842128
G000555,Gillibrand,Kirsten,D,NY,Senate,2,1,1,1,130.49987548184635,169.88628963307315,97.54474531644686,137.48103180821062,32.95513016539948,32.40525782486253
B001277,Blumenthal,Richard,D,CT,Senate,2,1,1,1,145.2935298551134,191.26675844704292,125.56356214626325,152.02221442620473,19.729967708850154,39.24454402083819
K000367,Klobuchar,Amy,D,MN,Senate,2,1,1,1,194.8482163659612,150.5720362966245,105.2640945895599,88.75330938598049,89.5841217764013,61.81872691064402
B000711,Boxer,Barbara,D,CA,Senate,2,1,1,0,112.38787965510096,84.89930969777626,93.43612353773601,71.81883257280353,18.95175611736495,13.080477124972731
L000261,Levin,Carl,D,MI,Senate,2,1,0,0,17.49469487969818,15.52201231077541,12.046175795126258,12.068919555624818,5.448519084571922,3.4530927551505926
H001046,Heinrich,Martin,D,NM,Senate,2,1,1,1,47.89499578327931,112.23061344130933,31.023522883969015,86.78955119704175,16.871472899310298,25.441062244267584
S000770,Stabenow,Deborah,D,MI,Senate,2,1,1,1,74.66016777697969,86.73516283761924,55.45986930970956,61.97015207904697,19.20029846727013,24.765010758572274
J000177,Johnson,Tim,D,SD,Senate,2,1,0,0,13.44591155978014,20.46792345750898,8.612240236936865,15.420146774907648,4.833671322843275,5.047776682601333
B000243,Baucus,Max,D,MT,Senate,2,1,0,0,35.54882133434754,15.523291383975668,22.370689704588475,12.847767335406703,13.178131629759061,2.675524048568965
B001267,Bennet,Michael,D,CO,Senate,2,1,1,1,74.9768093512328,118.83456875042923,31.627379247592476,47.40898583790664,43.34943010364033,71.42558291252259
T000464,Tester,Jon,D,MT,Senate,2,1,1,1,165.2901632548395,150.33337876705116,118.46573066688545,75.17585567265542,46.824432587954064,75.15752309439574
C001070,Casey,Bob,D,PA,Senate,2,1,1,1,153.90922821542213,109.40634981670252,102.49032070947524,58.16452876077982,51.41890750594689,51.2418210559227
H000206,Harkin,Thomas,D,IA,Senate,2,1,0,0,54.96619037352083,36.7313181149567,41.73681681572001,34.62846814642221,13.22937355780082,2.1028499685344926
H001069,Heitkamp,Heidi,D,ND,Senate,2,1,1,1,63.55485667006338,88.64990842593683,39.05874598515135,34.24506228316426,24.496110684912033,54.40484614277257
D000607,Donnelly,Joe,D,IN,Senate,2,1,1,1,46.6076144858551,53.23349163967836,11.611660866227373,12.122408734585514,34.99595361962773,41.11108290509285
F000457,Franken,Al,D,MN,Senate,2,1,1,1,98.85477421191845,160.792745892267,80.55339068044412,132.67257682444225,18.30138353147433,28.120169067824747
C000174,Carper,Thomas,D,DE,Senate,2,1,1,1,63.24542910477077,46.05460245784053,33.06441111894747,20.96619397544377,30.181017985823303,25.088408482396762
V000127,Vitter,David,R,LA,Senate,2,1,1,0,109.02317873309877,77.92008825153906,83.96202283667874,51.15653528964943,25.061155896420033,26.763552961889623
W000805,Warner,Mark,D,VA,Senate,2,1,1,1,97.03619134182884,86.18400902814598,43.74842565074776,41.17014277393704,53.28776569108108,45.01386625420894
K000384,Kaine,Timothy,D,VA,Senate,2,1,1,1,52.2694908940701,61.54000861359498,34.200709754701705,45.80367393868512,18.068781139368397,15.736334674909855
C001056,Cornyn,John,R,TX,Senate,2,1,1,1,124.31063482259704,95.6581693610309,81.61423163345333,67.18940601280617,42.69640318914371,28.468763348224726
K000360,Kirk,Mark,R,IL,Senate,2,1,1,0,114.24637332110969,95.9519525320122,50.61808011674487,40.182953858317596,63.628293204364816,55.768998673694604
C001098,Cruz,Ted,R,TX,Senate,2,1,1,1,88.17972489618656,58.4701680668792,84.06878357600257,53.74353116303445,4.110941320183983,4.726636903844749
B000575,Blunt,Roy,R,MO,Senate,2,1,1,1,110.76397665012026,121.93063894967902,55.43499068144697,62.99063032871033,55.32898596867329,58.94000862096869
R000307,Roberts,Pat,R,KS,Senate,2,1,1,1,61.919463505900936,82.05890658151034,42.93350028565541,57.25464214604957,18.985963220245523,24.804264435460773
C000286,Chambliss,Saxby,R,GA,Senate,2,1,0,0,3.231603832425599,29.636374033345373,3.2316038324255985,18.336461232735918,4.440892098500626e-16,11.299912800609455
R000584,Risch,James,R,ID,Senate,2,1,1,1,34.30598757480012,82.24654026121634,22.878046220738224,65.19635612596836,11.427941354061897,17.050184135247974
C000542,Coats,Daniel,R,IN,Senate,2,1,1,0,23.36427365597689,26.671444976779224,16.22665039178847,20.350243979023784,7.13762326418842,6.32120099775544
