"","from","to","weight"
"1","R000146","L000174",0.0582946252831996
"2","R000146","M000639",0.645202216268397
"3","R000146","D000563",0.45241870901798
"4","R000146","S000148",0.20901800293145
"5","R000146","H001042",1.03356331699726
"6","R000146","S001194",0.0224490369903551
"7","R000146","B000944",0.0591575492006439
"8","R000146","F000062",0.841199583560972
"9","R000146","G000555",0.00134565571514588
"10","R000146","B001277",0.130511741506419
"11","R000146","K000367",0.0416666666666667
"12","R000146","B000711",1.10952010630545
"13","R000146","S000770",0.00240110643633298
"14","R000146","B001267",0.0303030303030303
"15","R000146","T000464",0.064954137697275
"16","R000146","C001070",0.000599444176152444
"17","R000146","H000206",1.5
"18","R000146","H001069",0.0128379704033492
"19","R000146","F000457",0.00338338208091532
"20","R000146","C000174",0.151425806996979
"21","R000146","B000575",0.0105831174383103
"22","R000146","P000449",0.0861436551188811
"23","R000146","H001041",13.3023585472401
"24","R000146","P000603",2
"25","R000146","U000039",0.0730718571526469
"26","R000146","W000802",0.225357142857143
"27","R000146","M000702",0.596843680890718
"28","R000146","S001141",0.0151515151515152
"29","R000146","C001035",0.45241870901798
"30","R000146","S001181",0.435635123614663
"31","R000146","S000033",0.142857142857143
"32","R000146","M001176",0.124035499609167
"33","R000146","M001183",0.00521243153513589
"34","R000146","M001111",0.467639072792736
"35","R000146","A000368",0.0297587740471973
"36","R000146","R000122",0.169856459330144
"37","R000146","W000817",0.384353798895117
"38","R000146","N000032",1.28527025806308
"39","R000146","B001288",0.123469703446953
"40","R000146","C000141",1.44962677168933
"41","R000146","W000818",0.0194665566452866
"42","R000146","B001230",0.0357142857142857
"43","R000146","W000779",0.0222222222222222
"44","R000146","C000127",0.53448275862069
"45","L000174","R000146",0.95697723736215
"46","L000174","M000639",0.890681755619365
"47","L000174","D000563",2.49885336270693
"48","L000174","S000148",2.52879390599988
"49","L000174","H001042",0.00347013546760545
"50","L000174","S001194",0.166058323779711
"51","L000174","B000944",1.04886966914592
"52","L000174","F000062",3.16095434771944
"53","L000174","C001088",1.29024155896797
"54","L000174","G000555",0.586965239201698
"55","L000174","B001277",1.90511368944367
"56","L000174","K000367",2.47394021608285
"57","L000174","B000711",0.152733732143106
"58","L000174","H001046",0.0769230769230769
